listing_id,reviewer_name,comments,word
7457099,Dean,"The apartment looks exactly like the pictures. It was clean and spacious and lives up to the luxury promised in the title. 

The apartment is in a great part of town with Bloomingdales and the Roosevelt Island tramway on the doorstep. 

I would also recommend that you pop into The Jeffrey Craft Beer & Bites 311 E 60th St while you're there. 

I would draw your attention to two things. Firstly, it is a one story walkup. Secondly, the apartment is across the street from the Ed Koch Queensboro Bridge entrance so there is a constant flow of traffic.  We stayed two nights. For some reason, the first night (Friday) was very noisy, in particular, the blowing of truck horns coupled with homeless people shouting in the park in front all night. The second night (Saturday) was quieter. I would recommend packing earplugs.

Bo communicated openly and quickly and was great to deal with. ",luxury
11046443,Mitchell James,"The apartment was very clean, warm and accessible in a busy and entertaining area.  The train is literally across the street, which allows travel all across the Manhattan island easily. 

The amenities of the apartment are perfect for an individual or couple travelling Manhattan.  The apartment has a large screen tv and very fast unlimited internet, which I found very helpful to research all the great places to eat and drink in the area.

I can happily say this is one of the  best organised, accurate and receptive hosts I've had the pleasure of staying with. Especially with the help from Bonds associate  Sergio, who met me at the apartment when i arrived.

Thank you once again.",busy
9133502,Natalie,"Neighbourhood very busy but apartment quiet by NYC standards - great location within walking distance of all shopping etc..
Good use of space and felt safe",busy
375249,Terrence,"This is an enchanted space. Excellent color scheme puts you in an altered psychological state. Friendly cats. Nice deck. Be aware that it is right outside a busy street, so if you dont like street traffic, stay anyway because you will like your hosts and the place so much it might change your personality.

Great service - they washed my clothes and towels and did everything else. ",busy
7160363,Ana,"Andreias was a great host and his place was lovely. He shared tips of must see places and restaurants. The location itself has a lovely view, as promised,  and is peaceful, quiet, and close to subways. We would certainly visit again",quiet
7037918,Frankelmind1,"The host made me comfortable in her place of living. Listing description was exactly accurate as on the photos "" No hidden surprises"". The neighborhood was very nice, quiet and safe environment to be in. ",quiet
8409459,Ryan,"The apartment is located on a quiet street located within walking distance of all kinds of great things.  Jennifer (Robbin's cousin) was our contact and she welcomed us upon our arrival.  Apartment was very spacious for two people.  It was quiet and had all of the amenities we needed, although we were mostly out exploring the city.  And Robbin's restaurant recommendations were on point!  Overall, great experience.  ",quiet
14240385,Viktoria,"Great location, safe and very close to the subway station. Also close to lots of restaurants and bars. 15 min away from Manhattan. Kulwinder is a very organized host. It is easy to keep in touch with him through the app for any questions. He keeps the whole house clean and quiet. A perfect spot to crash after a long day exploring the city. I would definitely come back to this place and recommend it to anyone.",bar
7619039,Greg,"Bryson was a great host and the listing was exactly how it looked in the pictures. Nice, clean and in a great neighborhood with a ton of restaurants, bars and other places to enjoy NYC. I don't think I could have asked for a better place to spend my weekend in NYC.",bar
16782804,Kaylie,"Rasheed's place is located near fantastic restaurants and bars. The nearest subway station is a bit more of a walk but I was able to get around to other parts of the town very easily. Overall, great value and an amazing host!",bar
14667844,Gary,Lovely private short walk up close to everything and only a block from Central Park,park
3540722,Brittany,"Great place to stay for the night.   Convenient check in, we brought our dog and there is a dog park right down the street, it was perfect.",park
5272504,Fabiola,Hans is a great host. He is extremely friendly and warm. His apartment location is great a minutes walk to the subway and right across the street from a beautiful park.,park
