"","word","freq"
"167","advantage",16
"168","advantages",2
"169","adventure",41
"170","adventurer",9
"171","adventurerbusiness",2
"172","adventurers",2072
"173","adventurersbusiness",3
"174","adventures",33
"175","adventurous",11
"176","advertising",6
"177","advice",17
"178","advices",2
"179","advise",2
"180","advised",2
"181","aero",2
"182","aerobed",7
"183","aesthetic",10
"184","aesthetically",2
"185","aesthetics",3
"186","affectionate",4
"187","affiliates",2
"188","affluent",6
"189","afford",2
"190","affordable",94
"191","affording",4
"192","affords",2
"193","africa",2
"194","african",10
"195","afternoon",20
"196","age",10
"197","aged",2
"198","ages",12
"199","ago",23
"200","agréable",3
"201","agree",5
"202","agreed",2
"203","aguila",2
"204","ahead",20
"205","aid",15
"206","ailey",2
"207","aimed",11
"208","air",589
"209","airb",2
"210","airbed",48
"211","airbeds",9
"212","airbnb",182
"213","airbnbers",3
"214","airbnbs",3
"215","aircon",4
"216","aircondition",2
"217","airconditioned",8
"218","airconditioner",9
"219","airconditioning",18
"220","airconheating",2
"221","airheat",4
"222","airmatress",3
"223","airmattress",15
"224","airport",86
"225","airports",34
"226","airy",141
"227","aka",8
"228","alarm",3
"229","alcohol",2
"230","alcove",106
"231","aldi",8
"232","ale",6
"233","alex",2
"234","alexa",5
"235","alexander",20
"236","alices",4
"237","alike",18
"238","alive",9
"239","allday",2
"240","allen",7
"241","allergic",11
"242","allergies",13
"243","allergy",3
"244","alley",3
"245","allmarble",2
"246","alloggio",6
"247","allow",30
"248","allowed",49
"249","allowing",14
"250","allows",54
"251","allure",2
"252","almost",95
"253","alojamiento",7
"254","alone",30
"255","along",134
"256","alot",4
"257","alphabet",96
"258","already",14
"259","alse",2
"260","also",1109
"261","alternate",2
"262","alternative",10
"263","although",46
"264","altos",2
"265","alvin",2
"266","always",111
"267","amar",2
"268","amazed",4
"269","amazing",1314
"270","amazingly",14
"271","amazon",34
"272","ambassades",3
"273","ambiance",409
"274","ambience",9
"275","ambient",2
"276","ambiente",5
"277","ambroeus",2
"278","amc",39
"279","amenities",598
"280","amenitiesthe",2
"281","amenity",23
"282","america",17
"283","american",81
"284","amid",2
"285","amidst",13
"286","amnh",3
"287","among",33
"288","amongst",18
"289","amor",8
"290","amount",35
"291","amounts",4
"292","amour",2
"293","ample",82
"294","amplia",2
"295","amplio",2
"296","ampm",7
"297","amrita",4
"298","amsterdam",44
"299","amtrak",2
"300","amy",16
"301","amys",5
"302","anchor",12
"303","ancient",2
"304","andor",23
"305","android",2
"306","andy",2
"307","añejo",2
"308","angelika",2
"309","angels",4
"310","animal",4
"311","animals",9
"312","animated",3
"313","another",116
"314","ansel",9
"315","ansonia",2
"316","answer",21
"317","answered",2
"318","answers",2
"319","antika",3
"320","antique",31
"321","antiques",21
"322","anybody",7
"323","anymore",4
"324","anyone",91
"325","anything",119
"326","anytime",22
"327","anyway",3
"328","anywhere",332
"329","aparment",6
"330","apart",13
"331","apartament",9
"332","apartamento",15
"333","apartement",2
"334","apartment",10982
"335","apartmentflat",3
"336","apartmentlocated",2
"337","apartments",90
"338","apartmentstudio",2
"339","apenas",3
"340","apex",2
"341","aplenty",2
"342","apollo",198
"343","apotheke",4
"344","app",8
"345","appartamento",2
"346","appartement",12
"347","appartment",33
"348","appealing",2
"349","appear",2
"350","appeared",2
"351","apple",229
"352","applebees",2
"353","apples",3
"354","appletv",9
"355","appliance",5
"356","appliances",473
"357","applicances",2
"358","applies",4
"359","apply",9
"360","appointed",67
"361","appointments",4
"362","appreciate",12
"363","appreciated",3
"364","appreciates",3
"365","apprécierez",7
"366","approve",2
"367","approved",2
"368","approx",23
"369","approximate",3
"370","approximately",28
"371","apps",8
"372","appt",7
"373","appx",2
"374","apr",2
"375","april",24
"376","apt",2011
"377","aptmt",2
"378","aptprivate",3
"379","apts",10
"380","aquamarina",5
"381","aquarium",2
"382","arcade",3
"383","arched",5
"384","architect",17
"385","architects",3
"386","architectural",15
"387","architecturally",8
"388","architecture",41
"389","architectures",2
"390","area",1868
"391","areas",305
"392","arent",7
"393","arepa",9
"394","arguably",15
"395","ari",4
"396","aria",2
"397","arm",3
"398","armchair",4
"399","armchairs",2
"400","armoire",6
"401","armory",2
"402","aroma",2
"403","around",796
"404","arrange",5
"405","arranged",14
"406","arrangement",7
"407","arrangements",14
"408","array",16
"409","arrival",39
"410","arrivaldeparture",2
"411","arrivals",2
"412","arrive",18
"413","arrived",3
"414","arriving",9
"415","arsty",2
"416","art",597
"417","artfilled",9
"418","artful",4
"419","artfully",9
"420","artichoke",17
"421","artist",84
"422","artistfriendly",2
"423","artistic",62
"424","artistically",9
"425","artists",77
"426","artistsdesigners",2
"427","arts",43
"428","artscentral",2
"429","artsolomon",2
"430","artsy",48
"431","artwork",31
"432","artworks",4
"433","arty",2
"434","asap",8
"435","asia",3
"436","asian",20
"437","aside",4
"438","ask",136
"439","asked",2
"440","asking",3
"441","asleep",5
"442","aspect",3
"443","ass",2
"444","assignment",2
"445","assist",8
"446","assistance",4
"447","assistants",2
"448","associated",2
"449","assortment",2
"450","assure",3
"451","assured",6
"452","astonishing",4
"453","astor",74
"454","astoria",44
"455","astounding",2
"456","atelier",2
"457","atlantic",4
"458","atm",2
"459","atmosphere",67
"460","atmospheric",3
"461","atop",2
"462","atractivos",2
"463","atrain",6
"464","atrium",4
"465","attached",31
"466","attempt",2
"467","attendant",2
"468","attended",3
"469","attending",3
"470","attention",9
"471","attentive",4
"472","attorney",2
"473","attraction",27
"474","attractions",568
"475","attractive",17
"476","attractively",3
"477","auction",4
"478","audio",5
"479","audobon",2
"480","audrey",3
"481","audubon",4
"482","aug",13
"483","august",63
"484","aura",3
"485","aussie",2
"486","australian",4
"487","authentic",123
"488","authentically",2
"489","authenticity",5
"490","author",2
"491","authority",104
"492","automated",2
"493","automatic",3
"494","avail",31
"495","availability",58
"496","available",1388
"497","avant",2
"498","ave",608
"499","avec",8
"500","aveharlem",3
"501","avenida",2
"502","avenidas",2
"503","aventuras",2
"504","aventureros",6
"505","avenue",664
"506","avenues",123
"507","average",8
"508","aves",8
"509","aveth",2
"510","avetime",2
"511","avg",2
"512","avoid",6
"513","avoiding",3
"514","avthe",4
"515","avventurieri",2
"516","await",17
"517","awaiting",4
"518","awaits",29
"519","award",9
"520","awarded",2
"521","awardwinning",4
"522","aware",7
"523","away",3804
"524","awaybuses",2
"525","aways",3
"526","aweinspiring",2
"527","awesome",256
"528","awesomely",2
"529","babies",5
"530","baby",37
"531","bacaro",2
"532","bachelor",2
"533","back",312
"534","background",4
"535","backgrounds",10
"536","backing",2
"537","backpackers",4
"538","backside",6
"539","backyard",188
"540","bad",9
"541","bag",10
"542","bagel",11
"543","bagels",42
"544","bags",16
"545","baguette",2
"546","bain",11
"547","baked",7
"548","bakeries",25
"549","bakery",104
"550","bakerys",3
"551","baking",24
"552","balance",9
"553","balanced",2
"554","balconies",22
"555","balcony",373
"556","ball",14
"557","ballet",6
"558","ballroom",14
"559","balthazar",28
"560","bam",3
"561","bamboo",6
"562","banc",2
"563","bancos",2
"564","band",4
"565","bang",2
"566","bangkok",3
"567","banheiro",2
"568","bank",48
"569","banking",3
"570","banks",81
"571","bano",2
"572","baptist",17
"573","bar",329
"574","barawine",2
"575","barbecue",14
"576","barbecues",4
"577","barbeque",5
"578","barbque",3
"579","barclays",6
"580","bardbarnardcitycolumbiafordhamcornelurl",2
"581","bare",6
"582","bareburger",5
"583","barely",10
"584","bares",2
"585","barlike",2
"586","barn",6
"587","barnard",12
"588","barnes",2
"589","barney",3
"590","barneys",19
"591","barrestaurant",2
"592","barrestaurants",2
"593","barrio",36
"594","bars",2563
"595","barscafesrestaurants",2
"596","barsclubs",4
"597","barscoffee",3
"598","barslounges",4
"599","barspubs",2
"600","barsrestaurants",45
"601","barsrestaurantscoffee",2
"602","barsrestaurantsgalleries",2
"603","barsrestaurantsshops",3
"604","barsrestaurantssubways",2
"605","barton",2
"606","baruch",5
"607","base",106
"608","baseball",5
"609","based",15
"610","basement",141
"611","basic",101
"612","basically",27
"613","basics",12
"614","basilles",12
"615","basin",6
"616","basis",29
"617","bask",3
"618","basket",3
"619","basketball",31
"620","basset",2
"621","bath",942
"622","bathed",7
"623","bathing",2
"624","bathroom",2516
"625","bathroomkitchen",5
"626","bathrooms",367
"627","bathroomshower",5
"628","bathroomwifi",3
"629","baths",107
"630","bathshower",9
"631","bathtub",85
"632","bathtubshower",4
"633","batteries",2
"634","battery",119
"635","bay",60
"636","bayard",2
"637","baymurray",3
"638","bbq",47
"639","bbqs",4
"640","bcd",3
"641","bdb",2
"642","bdba",12
"643","bdbath",2
"644","bdbth",3
"645","bde",2
"646","bdf",11
"647","bdfm",77
"648","bdfmace",6
"649","bdfmnqrjz",2
"650","bdfmnr",7
"651","bdr",51
"652","bdrm",100
"653","bdrms",4
"654","bdroom",2
"655","beach",10
"656","beaches",3
"657","beacon",19
"658","beam",4
"659","beamed",2
"660","beams",8
"661","bean",8
"662","bear",3
"663","beat",64
"664","beating",4
"665","beats",5
"666","beautiful",2398
"667","beautifully",223
"668","beautifullyappointed",2
"669","beautifullydecorated",4
"670","beautifulspacious",2
"671","beauty",37
"672","beautyrest",4
"673","beaux",2
"674","become",13
"675","becomes",7
"676","becoming",2
"677","bed",4659
"678","beda",2
"679","bedba",2
"680","bedbath",23
"681","bedbathroom",2
"682","bedbug",2
"683","bedcouch",3
"684","bedding",85
"685","beddings",5
"686","bedeverything",2
"687","bedford",18
"688","bedframe",2
"689","bedlarge",2
"690","bedliving",2
"691","bedloft",2
"692","bednear",5
"693","bedrm",12
"694","bedro",2
"695","bedroom",7032
"696","bedroombath",7
"697","bedroombathroom",5
"698","bedroomfull",2
"699","bedroomliving",5
"700","bedroomoffice",2
"701","bedroomone",5
"702","bedrooms",816
"703","bedroomsbeds",2
"704","bedrooom",2
"705","beds",586
"706","bedsheets",8
"707","bedside",8
"708","bedsleeps",2
"709","bedstuy",6
"710","bedthe",2
"711","bedtv",2
"712","beekman",3
"713","beer",36
"714","bees",2
"715","beforehand",2
"716","begin",6
"717","begining",3
"718","beginning",6
"719","behaved",5
"720","behind",27
"721","behold",2
"722","beings",2
"723","belgian",2
"724","believe",17
"725","bell",2
"726","bells",8
"727","belongings",17
"728","belongs",2
"729","beloved",11
"730","bemelmans",2
"731","ben",4
"732","bench",3
"733","benches",5
"734","beneath",2
"735","benefit",4
"736","benefits",13
"737","bennet",5
"738","bennett",5
"739","bergdorf",6
"740","berlin",2
"741","beside",16
"742","besides",5
"743","bespoke",2
"744","best",1953
"745","bet",7
"746","better",114
"747","betw",2
"748","beverages",3
"749","bevy",3
"750","beyoglu",4
"751","beyond",14
"752","bhk",2
"753","bicycle",5
"754","bicycles",2
"755","bien",3
"756","bier",20
"757","biergarten",6
"758","big",982
"759","bigger",13
"760","biggest",22
"761","bigscreen",3
"762","bike",123
"763","bikerunning",4
"764","bikes",26
"765","bikeshare",2
"766","biking",6
"767","bikram",6
"768","bilevel",2
"769","bill",3
"770","billiard",2
"771","billiards",7
"772","bills",2
"773","billys",2
"774","bin",2
"775","birch",6
"776","bird",8
"777","birds",24
"778","birdseye",2
"779","birthday",2
"780","bistro",23
"781","bistros",7
"782","bit",42
"783","bite",7
"784","bites",2
"785","biweekly",2
"786","biz",2
"787","bklyn",2
"788","black",48
"789","blackout",22
"790","blanket",5
"791","blankets",23
"792","blazing",3
"793","bld",4
"794","bldg",124
"795","bldng",2
"796","bleecker",53
"797","bleeker",16
"798","blender",17
"799","blends",4
"800","blessed",2
"801","blinds",8
"802","blink",2
"803","blk",10
"804","blks",7
"805","bloc",3
"806","block",2398
"807","blocked",5
"808","blocking",2
"809","blocks",3064
"810","blocs",3
"811","blooks",2
"812","bloom",5
"813","bloomberg",2
"814","bloomindales",2
"815","bloomingdale’s",2
"816","bloomingdales",87
"817","blossoms",2
"818","blow",27
"819","blowup",9
"820","blue",52
"821","bluegray",3
"822","blueray",3
"823","blues",6
"824","bluetooth",8
"825","bluray",7
"826","blv",2
"827","blvd",15
"828","bnb",15
"829","board",18
"830","boarder",14
"831","boarding",3
"832","boardwalk",10
"833","boast",6
"834","boasting",8
"835","boasts",81
"836","boat",15
"837","boathouse",14
"838","boats",4
"839","bob",6
"840","bodega",6
"841","bodegas",16
"842","body",9
"843","bohemian",24
"844","boho",7
"845","boisterous",2
"846","bolig",2
"847","bom",3
"848","bond",4
"849","bones",3
"850","bono",12
"851","bonus",21
"852","book",181
"853","bookcase",9
"854","booked",9
"855","bookfilled",2
"856","booking",142
"857","bookingcozy",2
"858","bookings",18
"859","booklined",2
"860","books",58
"861","bookshelf",12
"862","bookshelves",4
"863","bookshop",4
"864","bookshops",2
"865","bookstore",2
"866","bookstores",7
"867","booming",5
"868","boot",3
"869","booth",2
"870","boqueria",2
"871","border",90
"872","bordering",15
"873","borders",13
"874","boring",2
"875","born",7
"876","borough",8
"877","boroughs",16
"878","bosch",9
"879","bose",22
"880","bosie",2
"881","botanical",11
"882","bother",9
"883","bothered",2
"884","bottle",12
"885","bottles",3
"886","bottom",28
"887","bought",5
"888","boulevard",5
"889","bounce",2
"890","bound",4
"891","boutique",107
"892","boutiques",188
"893","bowery",130
"894","bowl",38
"895","box",13
"896","boxes",3
"897","boy",4
"898","boyfriend",13
"899","boyfriends",2
"900","boys",4
"901","bradshaw",5
"902","bradshaws",3
"903","bran",2
"904","branch",12
"905","brand",573
"906","brandnew",14
"907","brands",3
"908","branson",2
"909","brapt",3
"910","brauer",2
"911","brazilian",7
"912","brb",2
"913","brba",43
"914","brbath",7
"915","brbth",3
"916","bread",8
"917","breads",3
"918","break",21
"919","breakfast",179
"920","breaking",6
"921","breath",10
"922","breathe",2
"923","breathtaking",60
"924","breeze",19
"925","breezy",10
"926","breuer",3
"927","brewed",2
"928","brewery",14
"929","brews",2
"930","brick",608
"931","bricks",10
"932","brickstone",2
"933","brickwall",3
"934","brickwalled",2
"935","bridge",323
"936","bridges",38
"937","brief",4
"938","brigade",3
"939","bright",813
"940","brightly",7
"941","brightness",2
"942","brightspacious",2
"943","brilliant",8
"944","brilliantly",2
"945","brimming",4
"946","bring",48
"947","bringing",4
"948","brings",26
"949","british",4
"950","brm",6
"951","broad",3
"952","broadband",4
"953","broadway",629
"954","broadwaylafayette",4
"955","broadways",3
"956","broadwaytimes",2
"957","broadwaytimessq",2
"958","broken",3
"959","broker",2
"960","broncos",2
"961","bronx",18
"962","broodthaers",2
"963","brookfield",29
"964","brooklyn",425
"965","brooklynbased",2
"966","brooklyns",5
"967","broom",2
"968","broome",7
"969","broomeorchard",3
"970","brother",5
"971","brothers",8
"972","brown",12
"973","brownstone",402
"974","brownstonelined",2
"975","brownstones",24
"976","brownstown",2
"977","browse",2
"978","brs",7
"979","brunch",17
"980","brunches",3
"981","brush",3
"982","bryan",2
"983","bryant",97
"984","bth",9
"985","bthrm",3
"986","btw",9
"987","btwn",9
"988","bua",2
"989","bubbys",3
"990","bucks",2
"991","budget",52
"992","budgets",12
"993","bueno",7
"994","build",4
"995","building",4030
"996","buildinggreat",3
"997","buildingnear",2
"998","buildingprivate",2
"999","buildings",79
"1000","built",76
"1001","builtin",22
"1002","buisness",2
"1003","bull",44
"1004","bulldog",2
"1005","bunch",13
"1006","bungalow",6
"1007","bunk",72
"1008","bunkbed",4
"1009","bunkbeds",4
"1010","bureau",6
"1011","burgeoning",3
"1012","burger",33
"1013","burgers",2
"1014","burlington",7
"1015","burmese",2
"1016","burner",3
"1017","burning",11
"1018","burritos",2
"1019","burrows",2
"1020","bursting",4
"1021","bus",526
"1022","buses",296
"1023","bushwick",21
"1024","busiest",4
"1025","business",2120
"1026","businesses",10
"1027","businessmen",11
"1028","businessready",2
"1029","busses",32
"1030","bussubway",6
"1031","bustle",87
"1032","bustling",95
"1033","bustrain",4
"1034","busy",117
"1035","butcher",2
"1036","butchers",2
"1037","button",2
"1038","buunni",5
"1039","buvette",12
"1040","buy",21
"1041","buzz",6
"1042","buzzer",4
"1043","buzzing",19
"1044","buzzy",2
"1045","bway",4
"1046","bye",2
"1047","bywell",2
"1048","cab",41
"1049","cabana",2
"1050","cabin",66
"1051","cabinet",17
"1052","cabinetry",12
"1053","cabinets",15
"1054","cabins",2
"1055","cable",656
"1056","cabledining",3
"1057","cableinternet",6
"1058","cables",4
"1059","cabletv",15
"1060","cablewifi",10
"1061","cabrini",6
"1062","cabs",16
"1063","caddy",2
"1064","cafe",227
"1065","café",32
"1066","cafes",629
"1067","cafés",49
"1068","cafesrestaurants",6
"1069","cafesrests",2
"1070","cafeteria",5
"1071","caffe",8
"1072","cake",3
"1073","calendar",36
"1074","cali",2
"1075","california",16
"1076","californian",2
"1077","call",71
"1078","calle",4
"1079","called",13
"1080","calls",6
"1081","calm",94
"1082","calme",4
"1083","calmer",2
"1084","calming",14
"1085","calmness",4
"1086","cama",6
"1087","camaradas",4
"1088","came",6
"1089","camera",15
"1090","cameras",10
"1091","caminando",2
"1092","camp",3
"1093","campbell",2
"1094","campus",53
"1095","campuses",2
"1096","can",1432
"1097","canadian",3
"1098","canal",33
"1099","cancel",6
"1100","cancelation",2
"1101","cancellation",2
"1102","cancellations",2
"1103","cancelled",3
"1104","candidate",2
"1105","candles",4
"1106","candy",6
"1107","cant",100
"1108","cantina",8
"1109","capital",4
"1110","captains",3
"1111","captivating",2
"1112","capture",2
"1113","car",32
"1114","caracas",10
"1115","carbon",3
"1116","carbone",2
"1117","card",18
"1118","cardio",4
"1119","cards",4
"1120","care",39
"1121","cared",2
"1122","carefree",2
"1123","careful",2
"1124","carefully",16
"1125","carefullyconsidered",2
"1126","cares",2
"1127","caretaker",2
"1128","caribbean",3
"1129","caridad",7
"1130","caring",7
"1131","carl",55
"1132","carlyle",2
"1133","carmine",5
"1134","carmines",3
"1135","carnegie",74
"1136","carol",2
"1137","carousel",2
"1138","carpet",5
"1139","carpeted",5
"1140","carpets",2
"1141","carrera",2
"1142","carriage",5
"1143","carrie",8
"1144","carries",3
"1145","carrot",2
"1146","carry",5
"1147","carrying",4
"1148","carryon",2
"1149","cars",3
"1150","casa",19
"1151","casais",3
"1152","case",38
"1153","casellula",2
"1154","cases",2
"1155","cash",2
"1156","cashiers",2
"1157","casper",20
"1158","cast",9
"1159","castle",4
"1160","casual",5
"1161","cat",157
"1162","catch",26
"1163","catches",2
"1164","catching",2
"1165","cater",3
"1166","catering",3
"1167","cathedral",66
"1168","catholic",3
"1169","cats",79
"1170","caught",2
"1171","causa",2
"1172","ccny",6
"1173","cds",2
"1174","cecil",5
"1175","cedar",3
"1176","ceiling",234
"1177","ceilings",892
"1178","celeb",7
"1179","celebrate",2
"1180","celebrated",2
"1181","celebration",2
"1182","celebrities",11
"1183","celebrity",26
"1184","celebs",3
"1185","cellar",23
"1186","cemetery",4
"1187","cen",3
"1188","cent",2
"1189","center",1303
"1190","centerbway",2
"1191","centercentral",2
"1192","centered",18
"1193","centerny",2
"1194","centerpoint",2
"1195","centerrockefeller",2
"1196","centers",48
"1197","centerwall",2
"1198","central",4910
"1199","centralized",4
"1200","centrallincoln",2
"1201","centrally",472
"1202","centrallylocated",9
"1203","centralpark",4
"1204","centre",26
"1205","centric",5
"1206","centro",7
"1207","century",73
"1208","ceramic",3
"1209","cerca",9
"1210","cereal",3
"1211","certain",4
"1212","certainly",16
"1213","certified",2
"1214","chains",2
"1215","chair",112
"1216","chairs",84
"1217","chaise",14
"1218","chalet",2
"1219","chambers",2
"1220","chambre",15
"1221","chambres",2
"1222","chance",25
"1223","chandelier",5
"1224","chandeliers",6
"1225","chanel",5
"1226","change",13
"1227","changed",15
"1228","changes",10
"1229","changing",8
"1230","channel",4
"1231","channels",49
"1232","chantelle",6
"1233","chaos",11
"1234","chaotic",3
"1235","chapter",4
"1236","character",107
"1237","characteristics",2
"1238","charcoal",2
"1239","charge",28
"1240","charged",5
"1241","charges",4
"1242","charging",32
"1243","charles",4
"1244","charlie",4
"1245","charm",181
"1246","charme",2
"1247","charmer",5
"1248","charming",767
"1249","charmingly",2
"1250","charms",5
"1251","chase",14
"1252","chat",3
"1253","chatham",5
"1254","cheap",67
"1255","cheaper",17
"1256","cheapest",5
"1257","check",218
"1258","checkin",63
"1259","checking",14
"1260","checkinkeypad",3
"1261","checkinout",17
"1262","checkout",20
"1263","cheerful",15
"1264","cheers",10
"1265","cheery",5
"1266","cheese",17
"1267","cheeses",2
"1268","chef",13
"1269","chef’s",3
"1270","chefs",59
"1271","chéile",5
"1272","chelsea",964
"1273","chelsea’s",3
"1274","chelseaflatiron",5
"1275","chelseameatpacking",7
"1276","chelseas",11
"1277","chelseawest",2
"1278","cherry",13
"1279","chest",17
"1280","chez",12
"1281","chi",3
"1282","chic",175
"1283","chicago",2
"1284","chicest",4
"1285","chicken",2
"1286","chihuahua",2
"1287","child",33
"1288","children",69
"1289","childrens",10
"1290","chill",62
"1291","chilled",6
"1292","chimney",2
"1293","china",47
"1294","chinatown",422
"1295","chinatownles",6
"1296","chinatownlittle",2
"1297","chinatownlower",9
"1298","chinchilla",2
"1299","chinese",44
"1300","chino",15
"1301","chip",3
"1302","chipotle",16
"1303","chipped",26
"1304","chirping",8
"1305","chock",2
"1306","chocolate",6
"1307","chocolates",2
"1308","choice",28
"1309","choices",23
"1310","choose",31
"1311","choosing",5
"1312","chose",2
"1313","chow",5
"1314","christine",2
"1315","christmas",39
"1316","christopher",26
"1317","chrome",5
"1318","chromecast",13
"1319","chrysler",67
"1320","church",52
"1321","churches",21
"1322","cielings",3
"1323","cigarette",2
"1324","cinema",24
"1325","cinemas",24
"1326","cinematic",2
"1327","cinemax",3
"1328","cipriani",4
"1329","cir",3
"1330","circa",4
"1331","circle",358
"1332","circlecentral",5
"1333","circlemaycyssohochinatownlittle",2
"1334","circulation",5
"1335","circumstances",2
"1336","citarella",4
"1337","citi",30
"1338","citibike",89
"1339","citibikes",18
"1340","cities",20
"1341","citizens",4
"1342","city",2876
"1343","city’s",44
"1344","citybike",3
"1345","cityeast",7
"1346","citys",118
"1347","cityscape",9
"1348","citythe",2
"1349","civic",5
"1350","claremont",3
"1351","clarkes",2
"1352","class",52
"1353","classes",4
"1354","classic",215
"1355","classical",5
"1356","classically",4
"1357","classics",2
"1358","classy",13
"1359","claw",5
"1360","clawfoot",4
"1361","clean",2062
"1362","cleaned",60
"1363","cleaner",11
"1364","cleaners",12
"1365","cleaning",69
"1366","cleanliness",41
"1367","cleanness",7
"1368","cleanquiet",2
"1369","clear",14
"1370","cleared",3
"1371","clearview",3
"1372","cleverly",2
"1373","click",14
"1374","clients",2
"1375","climate",4
"1376","climatisation",3
"1377","climb",22
